id,are_these_two_sounds_similar,are_these_two_sounds_similar:confidence,query-preview-lq-mp3,query-preview-lq-ogg,query_id,result-preview-lq-mp3,result-preview-lq-ogg,result_id
954078212,"second_option
second_option
second_option
second_option
second_option",," https://www.freesound.org/data/previews/2/2155_1198-lq.mp3"," https://www.freesound.org/data/previews/2/2155_1198-lq.ogg",2155," https://www.freesound.org/data/previews/5/5560_8043-lq.mp3"," https://www.freesound.org/data/previews/5/5560_8043-lq.ogg"," 0-5560"
954078213,"second_option
second_option
second_option
second_option
second_option",," https://www.freesound.org/data/previews/2/2155_1198-lq.mp3"," https://www.freesound.org/data/previews/2/2155_1198-lq.ogg",2155," https://www.freesound.org/data/previews/110/110011_1537422-lq.mp3"," https://www.freesound.org/data/previews/110/110011_1537422-lq.ogg"," 0-110011"
954078214,"second_option
second_option
second_option
second_option
second_option",," https://www.freesound.org/data/previews/2/2155_1198-lq.mp3"," https://www.freesound.org/data/previews/2/2155_1198-lq.ogg",2155," https://www.freesound.org/data/previews/240/240015_2297991-lq.mp3"," https://www.freesound.org/data/previews/240/240015_2297991-lq.ogg"," 0-240015"
954078215,"second_option
second_option
second_option
second_option
second_option",," https://www.freesound.org/data/previews/2/2155_1198-lq.mp3"," https://www.freesound.org/data/previews/2/2155_1198-lq.ogg",2155," https://www.freesound.org/data/previews/325/325462_464940-lq.mp3"," https://www.freesound.org/data/previews/325/325462_464940-lq.ogg"," 0-325462"
954078216,"second_option
second_option
second_option
second_option
second_option",," https://www.freesound.org/data/previews/2/2155_1198-lq.mp3"," https://www.freesound.org/data/previews/2/2155_1198-lq.ogg",2155," https://www.freesound.org/data/previews/22/22362_124811-lq.mp3"," https://www.freesound.org/data/previews/22/22362_124811-lq.ogg"," 0-22362"
954078217,"second_option
second_option
second_option
second_option
second_option",," https://www.freesound.org/data/previews/2/2155_1198-lq.mp3"," https://www.freesound.org/data/previews/2/2155_1198-lq.ogg",2155," https://www.freesound.org/data/previews/82/82402_1276308-lq.mp3"," https://www.freesound.org/data/previews/82/82402_1276308-lq.ogg"," 0-82402"
954078218,"second_option
second_option
second_option
second_option
second_option",," https://www.freesound.org/data/previews/2/2155_1198-lq.mp3"," https://www.freesound.org/data/previews/2/2155_1198-lq.ogg",2155," https://www.freesound.org/data/previews/50/50802_322568-lq.mp3"," https://www.freesound.org/data/previews/50/50802_322568-lq.ogg"," 0-50802"
954078219,"first_option
first_option
second_option
first_option
first_option",," https://www.freesound.org/data/previews/2/2155_1198-lq.mp3"," https://www.freesound.org/data/previews/2/2155_1198-lq.ogg",2155," https://www.freesound.org/data/previews/337/337791_5994209-lq.mp3"," https://www.freesound.org/data/previews/337/337791_5994209-lq.ogg"," 0-337791"
954078220,"second_option
second_option
second_option
second_option
second_option",," https://www.freesound.org/data/previews/2/2155_1198-lq.mp3"," https://www.freesound.org/data/previews/2/2155_1198-lq.ogg",2155," https://www.freesound.org/data/previews/264/264498_4019029-lq.mp3"," https://www.freesound.org/data/previews/264/264498_4019029-lq.ogg"," 0-264498"
954078221,"first_option
first_option
first_option
first_option
second_option",," https://www.freesound.org/data/previews/2/2155_1198-lq.mp3"," https://www.freesound.org/data/previews/2/2155_1198-lq.ogg",2155," https://www.freesound.org/data/previews/329/329045_5284496-lq.mp3"," https://www.freesound.org/data/previews/329/329045_5284496-lq.ogg"," 2155-329045"
954078222,"first_option
first_option
first_option
first_option
first_option",," https://www.freesound.org/data/previews/2/2155_1198-lq.mp3"," https://www.freesound.org/data/previews/2/2155_1198-lq.ogg",2155," https://www.freesound.org/data/previews/140/140391_2512534-lq.mp3"," https://www.freesound.org/data/previews/140/140391_2512534-lq.ogg"," 2155-140391"
954078223,"second_option
second_option
second_option
second_option
second_option",," https://www.freesound.org/data/previews/2/2155_1198-lq.mp3"," https://www.freesound.org/data/previews/2/2155_1198-lq.ogg",2155," https://www.freesound.org/data/previews/201/201635_84709-lq.mp3"," https://www.freesound.org/data/previews/201/201635_84709-lq.ogg"," 2155-201635"
