worker_id,external_id,judgments_count,missed_count,golds_count,forgiven_count,channel,country,region,city,last_ip,flagged_at,rejected_at,bonus,flag_reason,trust_overall,submission_rate,level_2_contributors
6331362,3929723,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
6431343,3342176,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
6579519,4697764,15,0,7,0,prodege,USA,OH,Mansfield,71.55.62.18,,,0,,1.0,300,1.0
6631846,3418686,5,2,5,0,clixsense,TUR,"","",88.249.57.204,,,0,,0.6,300,1.0
7344788,3469229,10,2,6,0,clixsense,LVA,23,Rezekne,62.85.37.86,,,0,,0.6667,300,1.0
7998682,4113375,74,0,19,0,clixsense,RUS,42,Slantsy,79.173.67.12,,,0,,1.0,296,1.0
8057247,4128798,55,1,15,0,clixsense,PRT,04,Vila Nova,188.251.70.194,,,0,,0.9333,333,1.0
9954345,4331295,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
11075499,499610320E8C6B8B41A29D4352C72707,50,2,13,0,neodev,VEN,"","",190.78.51.12,,,0,,0.8462,90,1.0
11557024,01A56FF0A038C82CBD9CE4BD64DFB8C1,10,1,6,0,neodev,BGD,84,Chittagong,123.200.30.19,,,0,,0.8333,300,1.0
11975072,9278DD699A511A4C6964A2442E880D82,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0
12781140,4633065,5,0,5,0,clixsense,HUN,21,Ocseny,91.146.136.235,,,0,,1.0,0,
13016762,3516063,105,3,25,0,clixsense,IND,13,Kollam,59.92.27.81,,,0,,0.88,300,1.0
13445914,4721256,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
13759181,A10057EB7961E7CF93CA06397A287A80,157,6,36,0,neodev,BGR,61,Varna,46.10.11.28,,,0,,0.8333,489,1.0
14309924,4848578,50,0,14,0,clixsense,IND,02,Hyderabad,49.206.218.161,,,0,,1.0,375,1.0
14472526,4861410,25,1,8,0,clixsense,IND,38,Bokaro,117.205.148.209,,,0,,0.875,300,1.0
14696991,11A6EA026AEC3AE541A29D4352C72707,170,2,38,0,neodev,BGR,61,Varna,46.10.11.28,,,0,,0.9474,510,1.0
14768021,4913116,95,1,23,0,clixsense,BRA,05,Salvador,186.247.219.139,,,0,,0.9565,600,1.0
15607357,5029972,5,0,5,0,clixsense,BRA,"","",201.11.137.21,,,0,,1.0,0,1.0
15673361,3336913,20,1,8,0,clixsense,ITA,10,Ancona,93.151.227.106,,,0,,0.875,300,1.0
16674031,39070,5,0,5,0,tremorgames,BGR,42,Sofia,95.111.51.140,,,0,,1.0,0,1.0
16870076,16265,362,6,76,0,tremorgames,ARG,01,Florencio Varela,190.51.185.201,,,0,,0.9211,121,1.0
17098308,5241986,5,0,5,0,clixsense,RUS,48,Moscow,37.146.147.106,,,0,,1.0,0,1.0
17133004,5229761,5,0,5,0,clixsense,AUT,09,Vienna,84.113.112.173,,,0,,1.0,0,1.0
17447431,885511A5CA834E426964A2442E880D82,95,0,23,0,neodev,POL,80,Jaroslaw,31.128.8.141,,,0,,1.0,300,1.0
18185361,5421563,5,0,5,0,clixsense,MKD,41,Skopje,185.80.165.19,,,0,,1.0,0,1.0
18490425,2998944,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
18876659,A1FE9A2959B26D1324750D543524A854,10,2,6,0,neodev,IDN,07,Tawangmas,114.79.29.83,,,0,,0.6667,300,1.0
19156908,253dac1657a19ca6406c0187734faca0a4b21b11,0,0,0,0,coinworker,,,,,,,0,,1.0,0,1.0
19298085,2097886,60,0,16,0,clixsense,IND,02,Hyderabad,183.82.230.73,,,0,,1.0,300,1.0
19420291,5610145,58,1,15,0,clixsense,BRA,15,Juiz De Fora,177.179.64.42,,,0,,0.9333,300,1.0
20156103,070E32DBA8C0BB46044935D48A84480F,10,1,6,0,neodev,QAT,01,Doha,37.211.16.204,,,0,,0.8333,300,1.0
20422110,607F45FE2F39E1E6DD6A67EA287D2489,230,0,50,0,neodev,GRC,"","",2.84.242.129,,,0,,1.0,450,1.0
20555022,256D291D12A820E4DD6A67EA287D2489,200,3,44,0,neodev,IND,28,Kolkata,182.66.3.32,,,0,,0.9318,414,1.0
20775957,6BF46B98ED666B862BFA95FAD8D0CB36,15,0,7,0,neodev,BRA,07,Brasília,177.206.132.5,,,0,,1.0,300,1.0
21110164,56440,0,0,0,0,gifthunterclub,,,,,,,0,,1.0,0,1.0
21160805,iggyfl,5,1,5,0,zoombucks,USA,FL,Belleview,142.197.197.248,,,0,,0.8,300,1.0
21296943,F2BBF4E5D71C175141A29D4352C72707,5,0,5,0,neodev,ROU,03,Mioveni,79.115.79.121,,,0,,1.0,0,1.0
21707202,5987589,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
22179197,4E80D192972455EC0DD4E15F98F7C799,5,2,5,0,neodev,VEN,07,Valencia,190.202.181.139,,,0,,0.6,0,1.0
22204662,285157,60,1,16,0,tremorgames,FRA,A8,Paris,92.142.237.75,,,0,,0.9375,400,1.0
22429869,5087E7B77DA2C8CF6964A2442E880D82,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0
22970449,6153485,20,1,8,0,clixsense,ITA,01,Spoltore,79.56.178.119,,,0,,0.875,300,1.0
22988297,6154272,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
23188187,6165172,5,0,5,0,clixsense,HRV,21,Zagreb,94.253.171.63,,,0,,1.0,300,1.0
23228736,6166827,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
23398908,2597403,25,2,9,0,clixsense,IND,25,Chennai,49.207.186.63,,,0,,0.7778,300,1.0
23626278,FA310E267245BED993CA06397A287A80,5,3,4,1,neodev,PAK,04,Sargodha,182.180.120.26,,,0,,0.25,0,1.0
24634295,6251728,30,1,10,0,clixsense,RUS,47,Zhukovskiy,77.232.152.114,,,0,,0.9,300,1.0
24696098,A8D15DF1D6496EF793CA06397A287A80,35,0,11,0,neodev,GBR,G6,Hull,178.78.102.168,,,0,,1.0,300,1.0
24998256,6274717,5,1,5,0,clixsense,FRA,A8,Paris,90.2.133.76,,,0,,0.8,300,1.0
25603852,1155,0,0,0,0,elite,,,,,,,0,,1.0,0,1.0
25707110,1425,20,1,8,0,elite,IND,02,Hyderabad,49.206.217.234,,,0,,0.875,400,1.0
25756390,2F414B85D984620F6964A2442E880D82,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0
25814270,1665,15,1,7,0,elite,ROU,25,Baia Mare,86.122.39.192,,,0,,0.8571,300,1.0
26471797,338E85B9BB9566DD0DD4E15F98F7C799,70,0,18,0,neodev,BRA,26,Itajaí,177.204.43.53,,,0,,1.0,525,1.0
26529693,4300,5,2,5,0,elite,IND,02,Hyderabad,49.206.223.86,,,0,,0.6,0,1.0
27792718,6476351,10,1,6,0,clixsense,PRT,14,Pontinha,94.62.251.111,,,0,,0.8333,300,
27848132,6484597,5,1,5,0,clixsense,DZA,"","",197.117.15.36,,,0,,0.8,300,1.0
27968352,6501642,60,2,16,0,clixsense,ITA,04,Acerra,87.17.2.143,,,0,,0.875,367,1.0
28038175,10929,0,0,0,0,elite,,,,,,,0,,1.0,0,1.0
28079216,70512,5,0,5,0,gifthunterclub,ESP,56,Barcelona,92.186.4.5,,,0,,1.0,300,1.0
28081782,238135335561525BDD6A67EA287D2489,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0
28245184,7DBF1ADA37662FB793CA06397A287A80,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0
28303182,669603,25,0,9,0,tremorgames,SRB,00,Belgrade,178.148.135.84,,,0,,1.0,300,1.0
28375885,A371173AF7A08CC893CA06397A287A80,10,2,6,0,neodev,ESP,39,Torrelavega,92.57.58.253,,,0,,0.6667,300,1.0
28697150,6598182,15,1,7,0,clixsense,BRA,07,Brasília,177.206.132.5,,,0,,0.8571,300,1.0
29617635,27963,30,2,10,0,elite,EGY,"","",45.244.192.79,,,0,,0.8,15,1.0
29812417,3DB7DD0C1DB76A8241A29D4352C72707,5,0,4,0,neodev,PRT,07,Lousã,37.189.85.154,,,0,,1.0,300,1.0
29829226,30357,45,1,13,0,elite,IDN,"","",114.125.186.99,,,0,,0.9231,300,1.0
29912367,6793269,5,2,5,0,clixsense,PRT,"","",213.30.68.70,,,0,,0.6,300,1.0
29938115,6797212,25,0,9,0,clixsense,SRB,02,Zrenjanin,188.2.154.68,,,0,,1.0,300,1.0
30088174,33823,67,1,18,0,elite,BIH,02,Doboj,31.223.135.246,,,0,,0.9444,433,1.0
30177905,35094,10,0,6,0,elite,BIH,01,Sarajevo,46.36.167.174,,,0,,1.0,300,1.0
30216145,35692,0,0,0,0,elite,,,,,,,0,,1.0,0,1.0
30218494,3512596,5,3,5,0,clixsense,BRA,07,Brasília,200.193.236.34,,,0,,0.4,0,1.0
30286087,6874459,75,1,18,0,clixsense,ESP,"","",83.213.106.152,,,0,,0.9444,70,1.0
30320877,37115,5,0,5,0,elite,PRT,17,Porto,213.22.146.212,,,0,,1.0,300,1.0
30406093,38303,10,1,6,0,elite,IND,02,Hyderabad,49.206.219.119,,,0,,0.8333,300,1.0
30422709,3C23A1D657559A5793CA06397A287A80,110,8,25,1,neodev,BIH,01,Visoko,77.221.25.10,,,0,,0.68,200,1.0
30500478,39727,35,0,11,0,elite,BIH,01,Tesanj,185.26.178.116,,,0,,1.0,450,1.0
30511066,A6C2DAD41746C29393CA06397A287A80,5,1,5,0,neodev,IND,28,Kolkata,202.142.70.47,,,0,,0.8,0,1.0
30512628,2BDE0F2E371FC28B24750D543524A854,25,1,7,0,neodev,CYP,"","",62.152.5.36,,,0,,0.8571,300,1.0
30518032,E8802EA04C50D5F7BD9CE4BD64DFB8C1,100,1,24,0,neodev,IND,19,Bangalore,122.167.220.46,,,0,,0.9583,335,1.0
30526086,semprelalla,5,0,5,0,getpaid,ITA,12,Turin,2.238.48.62,,,0,,1.0,0,1.0
30574178,6948928,35,2,11,0,clixsense,BGD,"","",103.200.39.22,,,0,,0.8182,300,1.0
30582509,40780,70,1,18,0,elite,IND,25,Chennai,122.164.228.38,,,0,,0.9444,300,1.0
30656104,deadnet,360,3,75,0,getpaid,MAR,49,Rabat,41.249.80.251,,,0,,0.96,120,1.0
30712378,6986455,65,1,17,0,clixsense,ROU,21,Deva,79.113.147.120,,,0,,0.9412,300,1.0
30909516,7036758,60,3,15,0,clixsense,TUR,20,Denizli,88.251.205.187,,,0,,0.8,367,1.0
30989093,198144,5,2,5,0,gifthunterclub,ESP,29,Alcobendas,188.78.179.86,,,0,,0.6,0,1.0
30999225,1CB3870F7C66E15B2BFA95FAD8D0CB36,54,1,15,0,neodev,BIH,01,Zenica,5.43.75.43,,,0,,0.9333,333,1.0
31018974,7065758,70,2,18,0,clixsense,BIH,01,Visoko,77.221.29.162,,,0,,0.8889,300,1.0
31039900,47855,32,0,11,0,elite,TUR,34,Istanbul,176.233.26.59,,,0,,1.0,274,1.0
31256687,457250,125,1,29,0,bitcoinget,USA,NY,Brooklyn,47.20.252.28,,,0,,0.9655,500,1.0
31567092,54655,15,0,7,0,elite,HRV,04,Pula,78.1.68.189,,,0,,1.0,450,1.0
31632154,7225254,235,6,51,0,clixsense,TUR,68,Ankara,176.40.163.70,,,0,,0.8824,486,1.0
31668344,0EEB5C50CE533B750FA9E28369487118,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0
31671747,56490,0,0,0,0,elite,,,,,,,0,,1.0,0,1.0
31681358,6D581B6752E4DE3B0FA9E28369487118,20,1,8,0,neodev,UKR,14,Lugansk,178.158.114.47,,,0,,0.875,300,1.0
31806791,59292,0,0,0,0,elite,,,,,,,0,,1.0,0,1.0
31807945,59290,149,8,33,1,elite,BIH,01,Sarajevo,77.238.221.8,,,0,,0.7576,218,1.0
31986991,7327276,5,0,5,0,clixsense,HRV,"","",31.147.5.175,,,0,,1.0,0,1.0
32035862,AFA7AFF8B95F99A493CA06397A287A80,30,2,10,0,neodev,EGY,"","",41.40.214.39,,,0,,0.8,300,1.0
32046308,8CECE4F81CD5E4B26964A2442E880D82,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0
32053642,21857B73DD0BD64093CA06397A287A80,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0
32059792,7347750,90,0,22,0,clixsense,IND,25,Chennai,59.92.100.31,,,0,,1.0,80,1.0
32068606,62455,0,0,0,0,elite,,,,,,,0,,1.0,0,1.0
32108646,7361206,5,0,5,0,clixsense,UKR,17,Odessa,91.203.136.34,,,0,,1.0,300,1.0
32197745,4343663,5,0,5,0,clixsense,MAR,49,Rabat,105.156.198.106,,,0,,1.0,300,1.0
32220734,63579,15,0,7,0,elite,BIH,01,Sarajevo,195.222.46.103,,,0,,1.0,300,1.0
32228468,7394052,95,1,22,0,clixsense,ESP,55,Burgos,83.43.224.119,,,0,,0.9545,128,1.0
32332502,7423235,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
32440246,65701,187,2,42,0,elite,BIH,01,Visoko,77.221.28.161,,,0,,0.9524,10,1.0
32443896,44370,20,1,8,0,elite,BIH,01,Visoko,77.221.30.89,,,0,,0.875,300,1.0
32462208,5857C5E73D9C0F3CBD9CE4BD64DFB8C1,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0
32505717,7475999,50,2,14,0,clixsense,UKR,04,Dnepropetrovsk,94.178.196.199,,,0,,0.8571,300,1.0
32529394,7476085,115,1,27,0,clixsense,PHL,D9,Makati City,222.127.178.100,,,0,,0.963,371,1.0
32642091,61C2A20B88F4BF952BFA95FAD8D0CB36,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0
32683338,67605,20,0,8,0,elite,BIH,01,Tuzla,37.203.96.99,,,0,,1.0,300,1.0
32765058,7560514,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
32793186,68254,117,3,28,0,elite,BIH,01,Sarajevo,109.237.45.147,,,0,,0.8929,575,1.0
32799278,68942,0,0,0,0,elite,,,,,,,0,,1.0,0,1.0
32838543,69323,25,0,9,0,elite,TUR,34,Istanbul,88.251.89.88,,,0,,1.0,400,1.0
32851954,BE705C80112149EFBD9CE4BD64DFB8C1,55,1,15,0,neodev,SRB,00,Belgrade,94.189.187.52,,,0,,0.9333,375,1.0
32863796,E0C8F7396D951A510FA9E28369487118,90,1,22,0,neodev,PHL,A4,Baguio City,122.2.228.48,,,0,,0.9545,392,1.0
32908359,6948266,25,1,9,0,clixsense,BRA,27,Embu,189.78.136.233,,,0,,0.8889,300,1.0
32920121,4BEC72CCBA4005D12BFA95FAD8D0CB36,40,1,12,0,neodev,MNE,00,Podgorica,85.94.114.9,,,0,,0.9167,420,1.0
32964147,70624,60,2,16,0,elite,BIH,01,Sarajevo,109.175.97.8,,,0,,0.875,5,1.0
33019031,7646246,20,2,8,0,clixsense,UKR,14,Lugansk,178.158.114.47,,,0,,0.75,300,1.0
33088110,2103963,65,2,17,0,clixsense,ITA,07,Rome,151.28.41.147,,,0,,0.8824,50,1.0
33092202,72119,23,1,9,0,elite,BGD,"","",103.230.107.28,,,0,,0.8889,300,1.0
33249231,57881,208,5,46,0,elite,BIH,01,Zenica,109.163.159.149,,,0,,0.8913,25,1.0
33256761,D993B6AE593A0E11BD9CE4BD64DFB8C1,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0
33263280,A4F015891E8A6FB10FA9E28369487118,5,0,5,0,neodev,ROU,21,Deva,89.137.20.15,,,0,,1.0,300,1.0
33268210,7722639,15,0,7,0,clixsense,SRB,00,Belgrade,87.116.189.42,,,0,,1.0,5,1.0
33302654,74121,30,0,10,0,elite,BIH,01,Tuzla,109.163.141.33,,,0,,1.0,300,1.0
33318848,74281,184,2,41,0,elite,BIH,01,Sarajevo,80.80.46.154,,,0,,0.9512,568,1.0
33425823,5A9825FB5C4667B1DD6A67EA287D2489,30,1,10,0,neodev,VEN,"","",190.75.155.174,,,0,,0.9,300,1.0
33549749,B5A4592E799681E641A29D4352C72707,20,0,8,0,neodev,VEN,"","",201.249.100.115,,,0,,1.0,300,1.0
33668438,53DEC49EB8BF662EDE1C1F776E860E31,5,2,5,0,neodev,SRB,00,Belgrade,93.87.163.121,,,0,,0.6,300,1.0
33693676,7829553,5,2,5,0,clixsense,POL,83,Sosnowiec,89.78.133.164,,,0,,0.6,0,1.0
33811048,A2B9D7B92864891323F77D1F6B68FDEC,5,0,5,0,neodev,VEN,07,Valencia,200.84.0.24,,,0,,1.0,0,1.0
33822167,975F0F0EA06BD72FBC6DC3AAB9FA15F9,60,3,16,0,neodev,BIH,01,Tuzla,185.12.168.90,,,0,,0.8125,360,1.0
33827460,7868425,5,0,5,0,clixsense,VEN,"","",190.79.111.52,,,0,,1.0,0,
33900753,7886181,55,1,15,0,clixsense,BRA,17,João Pessoa,187.64.35.184,,,0,,0.9333,330,1.0
33934998,70820,358,5,76,0,elite,SRB,00,Belgrade,94.189.189.200,,,0,,0.9342,84,1.0
33939537,4EA83877299C5FFDAA5E3A041481982C,140,3,32,0,neodev,COL,34,Bogotá,186.155.109.39,,,0,,0.9063,135,1.0
33943322,7896941,25,1,9,0,clixsense,MEX,30,Veracruz,189.251.130.117,,,0,,0.8889,300,1.0
33961046,7901288,145,3,33,0,clixsense,BRA,27,Itaquaquecetuba,189.47.103.44,,,0,,0.9091,135,1.0
33982690,80877,5,0,5,0,elite,BIH,01,Tuzla,109.175.101.64,,,0,,1.0,0,1.0
34028208,7919440,5,2,5,0,clixsense,RUS,51,Nizhniy Novgorod,109.184.132.67,,,0,,0.6,300,1.0
34121020,82177,10,1,6,0,elite,RUS,65,Samara,188.162.37.153,,,0,,0.8333,300,1.0
34122347,80879,10,0,6,0,elite,BIH,01,Zenica,5.43.83.76,,,0,,1.0,300,1.0
34144126,7951946,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
34192482,7767753,25,1,9,0,clixsense,MEX,31,Mérida,177.237.173.168,,,0,,0.8889,400,1.0
34195998,83338,5,4,5,0,elite,IND,"","",111.119.218.119,,,0,,0.2,0,1.0
34205149,83377,88,1,22,0,elite,SRB,00,Belgrade,24.135.94.153,,,0,,0.9545,44,1.0
34242458,7978551,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
34283196,7989652,50,1,14,0,clixsense,ESP,51,Córdoba,154.56.128.213,,,0,,0.9286,300,1.0
34335362,8002970,5,2,4,0,clixsense,COL,34,Bogotá,186.155.16.109,,,0,,0.5,0,1.0
34371250,point42014,5,3,5,0,getpaid,VNM,54,Nha Trang,14.165.221.233,,,0,,0.4,0,1.0
34402344,3B817916E5FBFF0EBE2CB08758655D00,35,1,11,0,neodev,BIH,01,Mramor,89.146.160.117,,,0,,0.9091,350,1.0
34458914,86321,10,0,6,0,elite,BIH,01,Sarajevo,109.175.54.40,,,0,,1.0,300,1.0
34472690,86504,10,0,6,0,elite,SVK,03,Kosice,95.103.117.40,,,0,,1.0,300,1.0
34483373,78B39B6F4938800907CFBA8CB897B0DC,25,2,9,0,neodev,BIH,01,Tuzla,31.47.27.118,,,0,,0.7778,300,1.0
34505112,62246,105,1,25,0,elite,SRB,"","",176.67.217.219,,,0,,0.96,450,1.0
34540150,87124,115,1,27,0,elite,BIH,01,Sarajevo,195.222.43.18,,,0,,0.963,460,1.0
34630521,8100610,15,1,7,0,clixsense,SRB,00,Belgrade,79.101.248.34,,,0,,0.8571,300,1.0
34641333,8E0A543B0E606D81D484BCC6EFBF03F5,5,1,5,0,neodev,UKR,"","",95.132.11.169,,,0,,0.8,300,1.0
34655187,8109799,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
34683839,kacatuks,5,2,5,0,instagc,BRA,27,Embu,189.78.136.233,,,0,,0.6,300,1.0
34686939,8121341,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
34689088,8119157,5,0,5,0,clixsense,BRA,08,Serra,177.177.245.225,,,0,,1.0,0,1.0
34703741,AA0F88A719435B2CDE1C1F776E860E31,90,2,22,0,neodev,VEN,13,Barquisimeto,186.91.199.144,,,0,,0.9091,102,1.0
34719236,269B955F2FA710C9BC6DC3AAB9FA15F9,5,1,5,0,neodev,VEN,25,Caracas,190.204.131.212,,,0,,0.8,300,1.0
34723350,8C03E5CD65D05BA56BDCD589D6BB8CA1,5,0,5,0,neodev,VEN,07,Valencia,201.210.8.150,,,0,,1.0,0,1.0
34764782,70C3B7F2A47B51271469C240903A77DC,10,2,6,0,neodev,BIH,01,Sarajevo,77.77.219.33,,,0,,0.6667,5,1.0
34779866,4CBE78BE6311482DBE2CB08758655D00,30,1,10,0,neodev,LKA,"","",175.157.4.163,,,0,,0.9,300,1.0
34797131,8157280,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
34827464,8168669,35,1,10,0,clixsense,VEN,"","",190.36.215.83,,,0,,0.9,300,1.0
34919373,1848F0DCCC39B670BE2CB08758655D00,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0
34965020,8214817,115,3,27,0,clixsense,IND,07,Delhi,180.188.248.11,,,0,,0.8889,300,1.0
34969140,C81A00600FCC5F85FD55B23693B99944,5,0,5,0,neodev,SRB,"","",95.180.29.234,,,0,,1.0,300,1.0
35000126,8289F158B8B3B8B4807A1C1B93AA3314,5,2,5,0,neodev,BIH,01,Tuzla,89.146.131.58,,,0,,0.6,300,1.0
35023022,93292,0,0,0,0,elite,,,,,,,0,,1.0,0,1.0
35032008,AE57595B6E9E284C6B390050D52FDAD3,5,0,5,0,neodev,IND,23,Amritsar,117.214.154.133,,,0,,1.0,0,1.0
35034408,349738B5B290BB8811A1B4E358E036AF,35,1,11,0,neodev,SRB,02,Novi Sad,178.221.160.36,,,0,,0.9091,360,1.0
35078728,DBE90A6762F02764BE2CB08758655D00,195,2,43,0,neodev,BIH,01,Tuzla,37.203.125.244,,,0,,0.9535,456,1.0
35124225,EA91F9A94B8AD6670CAD5F2CDE485D23,44,0,13,0,neodev,SRB,"","",82.117.192.86,,,0,,1.0,377,1.0
35136279,79778623C9DA9692204CFC72B9696897,5,3,5,0,neodev,BGD,84,Mirpur,61.247.189.236,,,0,,0.4,300,1.0
35148299,94733,55,0,15,0,elite,BIH,01,Sarajevo,109.163.177.196,,,0,,1.0,300,1.0
35171832,8286775,5,2,5,0,clixsense,RUS,38,Kuban,95.153.129.192,,,0,,0.6,300,1.0
35228162,7A44756E31E752B4E072395DC2023399,70,3,17,0,neodev,MDA,82,Orhei,188.213.88.203,,,0,,0.8235,23,1.0
35242242,2966644,0,0,0,0,fusioncash,,,,,,,0,,1.0,0,1.0
35286398,96497,5,1,5,0,elite,BIH,01,Sarajevo,92.36.179.133,,,0,,0.8,300,1.0
35328452,8340025,95,3,22,0,clixsense,CZE,80,Nove Mesto Na Morave,84.16.109.20,,,0,,0.8636,364,1.0
35338593,8138272,15,1,7,0,clixsense,ITA,14,Cagliari,151.56.157.60,,,0,,0.8571,300,1.0
35354906,8349444,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
35399280,8365103,190,1,42,0,clixsense,IND,25,Chennai,199.224.150.18,,,0,,0.9762,438,1.0
35467348,101544,10,0,4,1,elite,TUR,07,Antalya,88.229.162.100,,,0,,1.0,300,1.0
35479981,101715,55,1,15,0,elite,BIH,01,Sarajevo,195.222.43.18,,,0,,0.9333,330,1.0
35486257,101831,10,0,6,0,elite,TUR,34,Istanbul,212.154.53.23,,,0,,1.0,300,1.0
35499116,8400138,15,0,7,0,clixsense,BRA,15,Belo Horizonte,189.107.121.205,,,0,,1.0,300,1.0
