# results_withoutmfcc.txt 
# query nDCG	acc_0	acc_1	acc_2	av
110011	0.57	2.01	8.72	29.53	0.27
2155	0.95	8.72	18.79	40.94	0.09
22362	0.96	6.04	13.42	32.21	0.14
240015	0.50	2.01	4.03	23.49	0.36
264498	0.88	1.34	13.42	30.20	0.19
325462	0.58	4.70	21.48	77.85	0.23
337791	0.98	6.04	17.45	32.21	0.16
50802	0.74	1.34	4.70	16.11	0.28
5560	0.81	4.03	8.05	22.82	0.19
82402	0.78	2.01	13.42	36.91	0.21


# avr	0.78	3.83	12.35	34.23	0.2128

# results_onlymfcc.txt 
# query nDCG	acc_0	acc_1	acc_2	av
110011	0.91	4.70	14.77	36.24	0.32
2155	0.95	4.03	20.13	51.01	0.09
22362	0.99	2.68	16.78	63.09	0.15
240015	0.76	5.37	69.13	97.99	0.17
264498	0.88	2.68	14.09	53.02	0.17
325462	0.65	9.40	61.07	96.64	0.16
337791	0.97	6.71	22.15	46.31	0.05
50802	0.56	2.01	6.04	40.94	0.27
5560	0.63	3.36	10.07	34.23	0.28
82402	0.68	3.36	14.77	39.60	0.22


# avr	0.80	4.43	24.90	55.91	0.1879

# results_allfeatures.txt 
# query nDCG	acc_0	acc_1	acc_2	av
110011	0.81	2.68	11.41	28.86	0.30
2155	0.96	4.70	22.82	53.02	0.10
22362	1.00	3.36	16.78	57.72	0.13
240015	0.77	4.70	51.01	96.64	0.19
264498	0.90	2.68	14.09	59.73	0.17
325462	0.80	6.71	67.79	98.66	0.15
337791	0.99	6.71	20.13	46.31	0.07
50802	0.83	2.01	4.70	41.61	0.28
5560	0.89	2.68	9.40	31.54	0.21
82402	0.71	2.68	14.09	38.93	0.21


# avr	0.87	3.89	23.22	55.30	0.1792

# results_freesound.txt 
# query nDCG	acc_0	acc_1	acc_2	av
110011	0.94	12.75	81.21	96.64	0.16
2155	0.97	11.41	44.30	67.11	0.09
22362	0.98	8.72	42.95	83.22	0.09
240015	0.43	8.72	59.73	92.62	0.24
264498	0.86	5.37	35.57	74.50	0.17
325462	0.55	14.77	77.18	92.62	0.17
337791	0.97	10.07	40.94	65.10	0.09
50802	0.67	4.70	25.50	59.73	0.28
5560	0.89	14.09	79.19	95.30	0.19
82402	0.89	8.72	39.60	73.15	0.22


# avr	0.81	9.93	52.62	80.00	0.1711

