# results_withoutmfcc.txt 
# query nDCG	acc_0	acc_1	acc_2	av
110011	0.57	21.48	57.72	96.64	0.14
2155	0.95	20.13	83.89	94.63	0.15
22362	0.96	18.79	55.70	96.64	0.19
240015	0.50	20.81	53.02	100.00	0.17
264498	0.88	24.16	82.55	99.33	0.09
325462	0.58	67.79	95.30	99.33	0.10
337791	0.98	12.75	51.01	94.63	0.16
50802	0.74	10.74	49.66	97.99	0.18
5560	0.81	16.11	52.35	95.97	0.17
82402	0.78	24.16	88.59	98.66	0.14


# avr	0.78	23.69	66.98	97.38	0.1503

# results_onlymfcc.txt 
# query nDCG	acc_0	acc_1	acc_2	av
110011	0.91	22.82	59.73	97.99	0.17
2155	0.95	34.23	69.80	98.66	0.15
22362	0.99	42.95	88.59	91.28	0.28
240015	0.76	87.25	97.99	99.33	0.07
264498	0.88	43.62	92.62	97.99	0.12
325462	0.65	83.22	95.30	98.66	0.12
337791	0.97	31.54	63.76	97.99	0.11
50802	0.56	35.57	71.14	99.33	0.13
5560	0.63	26.17	57.05	93.96	0.21
82402	0.68	26.17	85.91	95.97	0.17


# avr	0.80	43.36	78.19	97.11	0.1544

# results_allfeatures.txt 
# query nDCG	acc_0	acc_1	acc_2	av
110011	0.81	18.12	77.85	97.99	0.19
2155	0.96	35.57	77.85	95.97	0.17
22362	1.00	38.93	89.26	92.62	0.25
240015	0.77	86.58	97.99	99.33	0.08
264498	0.90	49.66	93.29	97.99	0.12
325462	0.80	85.91	95.30	98.66	0.09
337791	0.99	28.19	61.74	96.64	0.15
50802	0.83	36.91	81.88	99.33	0.14
5560	0.89	24.16	65.10	97.32	0.17
82402	0.71	25.50	90.60	95.97	0.16


# avr	0.87	42.95	83.09	97.18	0.1523

# results_freesound.txt 
# query nDCG	acc_0	acc_1	acc_2	av
110011	0.94	79.87	91.95	96.64	0.18
2155	0.97	46.31	81.88	97.99	0.13
22362	0.98	62.42	87.92	92.62	0.26
240015	0.43	83.22	96.64	99.33	0.12
264498	0.86	64.43	93.29	98.66	0.12
325462	0.55	83.22	95.30	99.33	0.11
337791	0.97	43.62	71.81	94.63	0.16
50802	0.67	53.02	93.96	99.33	0.14
5560	0.89	81.21	90.60	97.32	0.17
82402	0.89	56.38	89.26	95.97	0.17


# avr	0.81	65.37	89.26	97.18	0.1557

